dev_coding_hours,caffeine_intake_mg,distractions,sleep_duration_hours,code_commits,issues_reported,mental_effort_score,task_completion_status,ai_tool_usage_hours
3.8821666,598,4,5.778519703,1,0,5.357277241,0,1.1884
3.444244598,619,3,5.214190247,8,0,6.37927205,0,1.4412
0.961280144,542,1,5.141088306,7,0,2.658780237,0,0.7293
2.428622733,296,2,5.027431911,2,0,4.726050576,1,0.8373
3.46353004,223,1,5.1804569,5,2,4.719143544,0,0.9635
6.706712178,-2,1,9.387530552,5,0,4.670615289,1,1.22
6.615324083,599,1,6.287853314,0,1,1.998245615,1,2.1319
6.19549674,502,5,6.309509215,9,3,3.586071092,0,2.1544
2.762246588,493,4,7.127592439,3,3,8.191825309,1,0.8433
6.776647188,600,4,7.955300296,3,1,9.541886478,0,2.2645
6.445160923,546,1,8.671506911,7,4,4.035963923,0,1.8376
5.670952454,579,3,7.516867386,6,3,8.757674279,0,1.9406
8.254594285,486,5,5.209249624,7,0,5.635139662,0,2.2637
4.512299156,581,3,6.265660879,4,1,2.307381992,0,1.1862
7.389492808,472,6,5.169405474,5,0,1.098777451,1,2.5651
3.645559225,602,2,7.544192113,10,0,4.658634319,1,1.3195
4.353227792,231,2,5.673559348,6,1,3.378473781,0,1.0122
7.020880607,510,2,6.538165274,1,1,1.714744938,0,2.567
6.139851747,117,2,9.965162324,11,1,4.372223008,0,1.8209
6.051379069,526,1,3.933410312,6,2,3.371855322,1,2.4117
6.93723248,325,3,5.933383767,6,2,5.590816733,0,2.4507
3.716011707,604,4,8.925366423,1,0,0.730559205,0,1.2346
6.419155148,461,4,7.685401959,7,0,3.51004287,0,1.1899
8.648391532,422,2,6.393415177,4,2,5.481152257,1,2.3029
4.268924771,370,4,7.876348505,4,0,7.859255376,1,1.3684
5.480581465,304,2,6.629416355,6,0,5.482214354,0,1.8253
2.256955133,609,2,5.838681532,4,3,5.232266193,1,1.1295
4.90135778,358,2,6.162727684,6,1,7.852104329,1,1.6444
5.520676344,586,7,3.915250369,6,0,4.670387823,1,1.88
4.68775176,535,7,8.381285027,4,0,3.278967194,0,1.1567
8.475505961,593,2,7.147265364,12,1,2.102705129,1,1.8552
4.43592115,504,1,9.2226066,8,2,6.265478714,1,1.5276
5.013507112,281,2,9.956063661,6,0,1.282307253,1,1.0426
3.810716673,479,7,8.259498457,1,0,3.997062127,0,1.2329
6.073423447,147,5,7.343258975,7,0,5.409279786,0,1.6031
4.475813937,263,4,7.291842123,5,0,1.332088761,0,1.1576
3.891010363,461,3,5.51126046,0,3,4.848826679,1,1.2021
3.013747089,567,1,7.463751288,8,1,4.48329392,1,1.053
4.840050254,271,2,9.270225211,9,0,2.746288422,1,1.054
6.577413308,290,5,7.633866207,0,0,3.673209705,0,1.4136
9.003854002,482,2,5.893685249,5,3,4.395432513,0,3.5432
6.497181191,544,6,6.603342419,0,2,4.739908757,1,2.0286
8.533961186,561,2,6.213651669,5,0,2.07596174,0,2.659
1.533389897,459,2,6.113067062,3,0,7.481666838,1,0.6491
4.471030625,615,3,7.374161265,12,3,6.563527439,0,2.0026
1.531275074,612,2,7.382879995,11,0,6.020512215,1,0.9266
5.952470687,594,3,5.874780742,5,0,4.829890494,1,1.9036
3.928392434,410,2,7.269387688,0,2,4.617306315,0,1.2709
5.411027578,592,3,6.812031916,6,0,6.932680553,1,1.7491
4.723402828,223,2,9.900916871,1,0,3.912418324,1,1.15
7.213877333,275,2,8.422545124,3,1,2.30481,1,1.4609
4.179309331,239,4,7.981521707,4,0,3.164680751,1,1.191
6.838705805,630,5,3.709395749,0,1,3.379152679,0,2.3449
5.572806709,565,2,7.934553437,3,3,3.902634055,1,1.7318
6.527691018,583,3,7.556109705,5,0,4.696554878,1,1.7289
5.578361915,481,8,5.538542392,7,0,0.845437729,0,2.0067
4.966704185,340,1,6.883050955,5,2,2.151687221,1,1.2417
2.593191764,222,0,7.316136243,1,0,1.590137636,1,0.8559
6.458403668,549,5,8.11891314,4,2,5.665141589,0,1.8005
3.303910308,578,6,4.529722967,4,3,6.790685851,0,1.5795
3.28787716,445,3,6.995389735,3,2,3.570146396,1,1.1992
5.858426416,583,1,7.379129162,7,2,4.865055432,1,2.1215
6.008303141,329,2,8.944137148,3,4,5.161905666,0,1.9015
4.649583222,359,1,8.002353385,1,0,7.503800874,1,1.2877
11.05592657,531,1,7.750359703,7,0,3.901738125,0,3.9627
6.078950299,575,2,7.409490769,5,2,6.159996457,1,1.9131
5.758129904,362,2,7.238430618,4,0,4.886890524,1,1.3294
5.548049857,84,2,7.973805563,3,0,7.312644333,0,1.345
3.20883836,405,5,8.99844415,5,0,3.057407156,1,1.0395
5.645824601,437,1,7.817149754,2,0,4.253330796,0,1.4377
6.567534077,494,3,7.171846154,7,0,6.601688976,0,1.2937
4.282857438,615,3,4.427168218,11,0,1.919896129,1,0.975
4.196925635,99,2,5.282024916,3,0,1.546821679,0,0.968
5.468640016,388,3,8.173856843,3,0,4.94578695,0,1.7022
5.917612977,422,2,7.375448207,5,0,6.431348369,1,1.2172
5.644369642,356,3,6.020887706,7,0,5.842344035,0,1.9053
5.600037999,475,5,7.364873964,3,3,2.958027762,1,1.7587
6.651568066,580,3,5.069988634,3,0,4.413281933,1,1.7295
7.001924969,594,6,3.882275333,4,0,4.529790342,1,2.3351
0.477688916,184,2,5.915055565,6,0,3.902062758,0,0.4733
4.612730807,572,3,6.683443301,5,5,5.101376181,0,1.6661
5.906734204,413,2,8.407441666,6,0,5.077804017,1,1.2662
3.586841636,458,3,7.423690217,10,0,4.029989686,0,1.0199
1.692222997,237,3,7.187637339,7,2,6.82650496,1,0.5785
5.527096594,343,3,7.348359016,4,0,6.123869487,1,1.3644
4.623012317,464,2,7.690596265,6,3,4.422181899,1,1.5368
8.431028973,161,0,3.745535364,8,2,5.900784115,1,2.6848
4.259510011,582,3,6.91241068,1,0,2.887555951,1,1.0199
2.934909044,606,3,6.386683226,8,1,3.874847519,1,1.0127
3.311891411,604,6,6.26153687,4,3,4.552686244,0,1.4803
5.777340817,404,3,7.764744147,5,0,4.808983273,1,1.1117
4.502668528,246,3,5.687476607,4,2,7.244813431,1,1.3528
4.867729065,626,4,6.449345409,7,0,2.254735395,1,1.2341
7.836536829,576,1,5.434129355,11,2,4.713915761,1,2.0256
5.064605418,529,1,8.000531798,3,0,4.179056263,0,1.3997
